serotype,cell_type,3E5,3E6,3E7,3E8,3E9,3E10,3E11
7m8,Muller Glia,0,0,0,0,259.3899149201079,1660.0954554886907,9753.060800996056
7m8,On-Bipolar,0,0,0,0,41.72577818576317,375.53200367186844,3838.771593090211
7m8,Retinal Ganglion Cell,0,0,0,0,4293.130990415336,27189.82960596379,104199.94675186368
7m8,Amacrine Cell,0,0,0,0,329.0014805066623,1480.5066622799804,9541.042934693207
7m8,Cone,0,0,0,0,280.4655728509325,1121.86229140373,9535.829476931707
7m8,Glia,0,0,0,0,31.850176768481067,143.3257954581648,1353.6325126604454
7m8,Horizontal Cell,0,0,0,0,177.11654268508678,531.3496280552604,9032.943676939427
7m8,Microglia,0,0,0,0,20.281507321624144,304.22260982436217,1500.8315418001864
7m8,Off-Bipolar,0,0,0,0,0,72.02016564638099,2160.6049693914297
7m8,Rod,0,0,0,0,0,63.18616223047153,663.454703419951
