aav_titer,cell_type,cells,normalized_cells_cpm
ATX001_e10,Glia,1,220.55580061755623
ATX001_e10,On-Bipolar,1,107.74701002047193
ATX001_e10,Retinal Ganglion Cell,3,285.6054836252856
ATX001_e11,Amacrine Cell,5,1753.77060680463
ATX001_e11,Glia,2,441.11160123511246
ATX001_e11,Microglia,1,176.05633802816902
ATX001_e11,On-Bipolar,3,323.2410300614158
ATX001_e11,Retinal Ganglion Cell,58,5521.706016755522
ATX001_e11,Rod,2,133.30667199893355
ATX001_e12,Amacrine Cell,14,4910.557699052964
ATX001_e12,Cone,6,8219.17808219178
ATX001_e12,Glia,9,1985.002205558006
ATX001_e12,Horizontal Cell,2,3105.590062111801
ATX001_e12,Microglia,7,1232.3943661971832
ATX001_e12,Muller Glia,9,1614.0602582496413
ATX001_e12,Off-Bipolar,5,2378.6869647954327
ATX001_e12,On-Bipolar,18,1939.4461803684947
ATX001_e12,Retinal Ganglion Cell,372,35415.079969535414
ATX001_e12,Rod,10,666.5333599946678
ATX001_e13,Amacrine Cell,95,33321.64152928797
ATX001_e13,Cone,32,43835.61643835616
ATX001_e13,Glia,53,11689.45743273048
ATX001_e13,Horizontal Cell,7,10869.565217391304
ATX001_e13,Microglia,66,11619.718309859156
ATX001_e13,Muller Glia,80,14347.202295552368
ATX001_e13,Off-Bipolar,18,8563.273073263557
ATX001_e13,On-Bipolar,113,12175.41213231333
ATX001_e13,Pericyte,1,16129.032258064515
ATX001_e13,Retinal Ganglion Cell,1880,178979.436405179
ATX001_e13,Rod,121,8065.0536559354805
